filename	source_url	viewer_url	viewer_page	printed_page_or_signature	volume_year	capture_date	uncertainties
bsb11762465_00003_title.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00003/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=3	3	none printed (title leaf; no signature or catchword in lower margin)	1596	2026-09-17	Title page. Imprint read from image: "FRANCOFVRTI, EX OFFICINA PALTHENIANA, sumtibus Nicolai Bassaei. ANNO M D XCVI." Manuscript ownership inscription in brown ink across the imprint reads (uncertain) "Conventu[s] ... Bambergensis" with two abbreviations below, possibly "Ord:" and "Praed:"; letters not fully legible at 1288 px native width.
bsb11762465_00004_title-verso.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00004/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=4	4	none printed (blank leaf verso)	1596	2026-09-17	Blank verso of the title leaf; oval purple stamp "Staats-Bibliothek Bamberg" plus show-through of the title page. No letterpress.
bsb11762465_00055_body-start-A-Aal.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00055/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=55	55	A 3 (signature, recto)	1596	2026-09-17	First page of the dictionary proper: section initial "A", running heads "Aa | Aa", first headword "Aal." (Anguilla). Included as evidence for the A end of the A-S span; not part of either target entry.
bsb11762465_00689_Himmel-prev.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00689/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=689	689	Ss 2 (signature, recto)	1596	2026-09-17	Context page preceding the Himmel entry. Himmel does NOT begin here. Signature read as "Ss 2"; the doubled letter is a round s, not a long s, as far as is legible.
bsb11762465_00690_Himmel.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00690/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=690	690	no signature (verso of leaf Ss2); catchword "in"	1596	2026-09-17	ENTRY BEGINS HERE. Headword "Himmel." set in Fraktur in the LEFT column at approx y=1468 of 2120 px; entry continues in the right column of the same page. Note: the left column above it runs Hirnschale-end, "Hieuon ist genug gesagt", "Hufft" (Huefft), "Hutte" (Huette) - i.e. the printed sequence is NOT strictly alphabetical immediately before Himmel. Recorded as observed; no explanation asserted. Leaf identity Ss2-verso is inferred from the signatures on scans 689 and 691, not printed on this page.
bsb11762465_00691_Himmel.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00691/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=691	691	Ss 3 (signature, recto)	1596	2026-09-17	Whole page is continuation of the Himmel entry (POETICE epithets for Coelum and Olympus). No new headword on this page.
bsb11762465_00692_Himmel.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00692/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=692	692	no signature (verso of leaf Ss3); catchword "Himels" (Fraktur, partly cropped by the page edge)	1596	2026-09-17	Himmel entry ends in the RIGHT column with "Caeli stellata, aurataq; templa."; NEXT ENTRY BOUNDARY "Himmelblaw." visible at approx y=760, followed by "Himlisch." and "Himlische." Leaf identity Ss3-verso inferred from adjacent signatures, not printed here.
bsb11762465_00693_Himmel-next.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00693/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=693	693	Ss 4 (signature, recto)	1596	2026-09-17	Context page following the Himmel entry; carries "Himmels lauff vnd gelegenheit erforschen", then Hincken/Hinckender/Hinckung/Hinde. Included so that the following headwords are preserved.
bsb11762465_00833_Lehrer-prev.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00833/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=833	833	Ddd 3 (signature, recto)	1596	2026-09-17	Context page preceding the Lehrer entry. Lehrer does NOT begin here.
bsb11762465_00834_Lehrer.jpg	https://api.digitale-sammlungen.de/iiif/image/v2/bsb11762465_00834/full/full/0/default.jpg	https://www.digitale-sammlungen.de/de/view/bsb11762465?page=834	834	no signature (verso of leaf Ddd3); catchword italic, read as "azes." (uncertain; probably the tail of a Greek word set in italic)	1596	2026-09-17	COMPLETE ENTRY ON THIS PAGE. Headword set as three German alternatives on two lines in the RIGHT column at approx y=321-385: "Lehrer / Schulmeister / Vnderweiser." Body approx y=454-773. NEXT ENTRY BOUNDARY "Lehrnen/Studieren." visible at approx y=826 on the same page, so the entry does not continue to scan 835. Note the third alternative is printed "Vnderweiser" (with d), not "Vnterweiser"; read at 4x magnification, high confidence. Long-s is used in "Schulmeister" and "-weiser" (Schulmeiſter, Vnderweiſer); the headword slashes are virgulae, not commas.
